Movie_ID,Title,Year,IMDB_Score,RT_Score,MetaC_Score,Ebert_Score,anyAwesome
6,If Beale Street Could Talk,2018,0.71,0.95,0.87,4.0,1
7,Mad Max: Fury Road,2015,0.81,0.97,0.9,4.0,1
8,Babygirl,2024,0.66,0.77,0.81,3.5,0
9,Inside the Yellow Cocoon Shell,2023,0.67,0.94,0.94,3.5,1
10,Nosferatu,2024,0.76,0.85,0.78,4.0,1
11,The Seed of the Sacred Fig,2024,0.76,0.95,0.85,3.5,0
41,Saltburn,2023,0.7,0.71,0.61,3.0,1
42,Spider-Man: Into the Spider-Verse,2018,0.84,0.97,0.87,3.5,1
43,Adaptation,2002,0.77,0.9,0.83,4.0,0
44,The Mighty Ducks,1992,0.66,0.27,0.46,2.0,0
47,Kindergarten Cop,1990,0.62,0.54,0.61,3.0,0
49,The Addams Family,1991,0.69,0.67,0.57,2.0,0
50,The Santa Clause,1994,0.66,0.73,0.57,2.5,0
51,Father of the Bride,1991,0.66,0.7,0.51,3.0,0
52,Terms of Endearment,1983,0.74,0.81,0.79,4.0,0
53,Spanglish,2004,0.64,0.54,0.48,3.0,0
54,Ghost,1990,0.71,0.75,0.52,2.5,0
55,La Chimera,2023,0.73,0.94,0.91,3.0,0
56,Eyes Wide Shut,1999,0.75,0.76,0.69,3.5,0
57,Janet Planet,2023,0.61,0.85,0.83,4.0,1
58,Small Things Like These,2024,0.73,0.93,0.82,4.0,1
59,The Beast,2023,0.65,0.86,0.8,4.0,0
60,Conclave,2024,0.74,0.93,0.79,4.0,1
61,Tangerine,2015,0.71,0.96,0.86,3.0,1
62,La Cocina,2024,0.74,0.71,0.75,3.5,0
63,Bird,2024,0.72,0.85,0.74,3.5,1
64,Fish Tank,2009,0.73,0.91,0.81,4.0,1
65,Do Not Expect Too Much from the End of the World,2023,0.74,0.97,0.95,3.5,0
66,"Paris, Texas",1984,0.81,0.95,0.81,4.0,0
67,His Three Daughters,2023,0.72,0.98,0.84,4.0,0
69,Good One,2024,0.66,0.98,0.87,4.0,1
70,Sing Sing,2023,0.77,0.97,0.83,4.0,0
71,Challengers,2024,0.71,0.88,0.82,3.5,0
72,On the Count of Three,2021,0.7,0.85,0.74,4.0,0
73,The Piano,1993,0.75,0.9,0.89,4.0,1
74,Petite Maman,2021,0.74,0.97,0.93,4.0,1
75,Asteroid City,2023,0.65,0.76,0.76,4.0,0
76,Happening,2021,0.74,0.99,0.86,4.0,1
77,Goodfellas,1990,0.87,0.94,0.92,4.0,1
78,All Dirt Roads Taste of Salt,2023,0.59,0.9,0.87,3.5,0
79,Morvern Callar,2002,0.68,0.85,0.78,3.5,1
80,The Wonderful Story of Henry Sugar,2023,0.74,0.95,0.85,4.0,0
81,Frances Ha,2012,0.74,0.92,0.82,2.5,1
82,Love Lies Bleeding,2024,0.66,0.94,0.77,3.5,1
83,Monica,2022,0.63,0.84,0.75,4.0,1
84,The Zone of Interest,2023,0.73,0.93,0.92,4.0,1
85,Society of the Snow,2023,0.78,0.9,0.72,3.0,0
86,The Teachers' Lounge,2023,0.74,0.96,0.82,3.5,1
87,All of Us Strangers,2023,0.76,0.96,0.9,3.5,1
88,Casablanca,1942,0.85,0.99,1.0,4.0,0
89,May December,2023,0.68,0.91,0.86,4.0,1
90,Anatomy of a Fall,2023,0.77,0.96,0.86,3.5,1
91,Master Gardener,2022,0.61,0.71,0.63,4.0,0
92,The Artifice Girl,2022,0.66,0.92,0.6,3.0,1
93,Aftersun,2022,0.76,0.95,0.95,4.0,0
94,Rodeo,2022,0.61,0.8,0.7,2.0,0
95,Earth Mama,2023,0.66,0.97,0.84,4.0,1
96,Showing Up,2022,0.63,0.89,0.86,3.0,0
97,Oppenheimer,2023,0.83,0.93,0.9,4.0,0
98,The Lighthouse,2019,0.74,0.9,0.83,3.0,0
99,TÃ¡r,2022,0.74,0.91,0.93,4.0,1
100,The Banshees of Inisherin,2022,0.77,0.96,0.87,3.5,0
101,Thoroughbreds,2017,0.66,0.87,0.75,3.5,0
102,Azor,2021,0.65,0.98,0.88,3.5,0
103,Short Term 12,2013,0.79,0.98,0.82,3.5,0
104,Moonlight,2016,0.74,0.98,0.99,4.0,1
105,Parasite,2019,0.85,0.99,0.97,4.0,1
106,Sound of Metal,2019,0.77,0.97,0.82,3.5,1
107,Nomadland,2020,0.73,0.93,0.87,4.0,1
108,The Card Counter,2021,0.62,0.87,0.78,4.0,0
109,Raw,2016,0.69,0.92,0.81,3.5,1
110,Titane,2021,0.65,0.9,0.75,3.5,1
111,The Power of the Dog,2021,0.68,0.94,0.89,4.0,0
112,In the Cut,2003,0.54,0.34,0.47,2.5,1
113,Sweetie,1989,0.67,0.9,0.81,3.5,0
121,BlackBerry,2023,0.73,0.97,0.78,3.5,0
122,A Real Pain,2024,0.72,0.96,0.86,4.0,1
123,The People's Joker,2022,0.61,0.95,0.78,3.5,1
124,Anora,2024,0.78,0.94,0.91,4.0,1
125,Thelma,2024,0.7,0.98,0.77,3.5,1
126,Hit Man,2023,0.68,0.95,0.82,3.5,1
127,Hundreds of Beavers,2022,0.77,0.97,0.82,4.0,0
128,Polite Society,2023,0.66,0.91,0.75,3.5,0
129,Jackass Forever,2022,0.68,0.86,0.74,4.0,0
130,They Cloned Tyrone,2023,0.66,0.95,0.74,3.0,0
131,Outlaw Johnny Black,2023,0.56,0.66,0.54,2.5,0
132,The Unbearable Weight of Massive Talent,2022,0.7,0.87,0.68,3.5,1
133,No Hard Feelings,2023,0.64,0.7,0.59,2.0,0
134,El Conde,2023,0.64,0.83,0.72,3.5,0
135,Drive-Away Dolls,2024,0.54,0.63,0.56,3.5,0
136,Barbie,2023,0.68,0.88,0.8,3.5,1
137,American Fiction,2023,0.75,0.93,0.81,2.5,0
138,Sanctuary,2022,0.62,0.88,0.67,3.0,0
139,Werewolves Within,2021,0.6,0.86,0.66,3.0,0
140,The Holdovers,2023,0.79,0.97,0.82,3.5,1
141,7 Days,2021,0.65,0.86,0.72,3.0,0
142,Shiva Baby,2020,0.71,0.96,0.79,4.0,1
143,Bottoms,2023,0.67,0.91,0.74,3.5,0
144,Joy Ride,2023,0.64,0.9,0.74,2.5,0
145,"Confess, Fletch",2022,0.64,0.86,0.64,2.0,0
147,Licorice Pizza,2021,0.71,0.9,0.9,4.0,0
148,Dinner in America,2020,0.75,0.91,0.8,3.5,1
149,Brian and Charles,2022,0.67,0.84,0.66,2.0,1
150,Borat Subsequent Moviefilm,2020,0.66,0.85,0.68,3.5,1
154,The Nature of Love,2023,0.69,0.92,0.8,4.0,0
155,Molli and Max in the Future,2023,0.63,0.98,0.7,2.5,0
156,Before Sunset,2004,0.81,0.94,0.91,3.5,1
157,Fallen Leaves,2023,0.73,0.97,0.86,4.0,0
158,Portrait of a Lady on Fire,2019,0.81,0.97,0.95,4.0,1
159,Before Sunrise,1995,0.81,1.0,0.78,3.0,0
160,Rye Lane,2023,0.72,0.98,0.82,3.5,0
161,Past Lives,2023,0.78,0.95,0.94,4.0,1
162,You Hurt My Feelings,2023,0.66,0.94,0.8,3.5,0
163,Crazy Rich Asians,2018,0.69,0.91,0.74,3.5,0
164,Pride & Prejudice,2005,0.78,0.87,0.82,4.0,0
165,Decision to Leave,2022,0.73,0.94,0.85,3.0,1
166,Drive My Car,2021,0.75,0.97,0.91,4.0,1
167,The Worst Person in the World,2021,0.77,0.96,0.9,4.0,1
168,Your Name,2017,0.78,0.95,0.94,3.5,0
169,Palm Springs,2020,0.74,0.94,0.83,3.5,0
172,Gremlins,1984,0.73,0.86,0.7,3.0,0
173,Mad God,2021,0.68,0.92,0.8,4.0,0
174,The Substance,2024,0.73,0.89,0.78,3.5,1
175,Alien: Romulus,2024,0.71,0.8,0.64,3.0,1
176,Oddity,2024,0.67,0.96,0.78,3.5,0
177,Piggy,2022,0.62,0.91,0.72,2.5,0
178,Talk to Me,2022,0.71,0.94,0.76,3.0,0
179,Barbarian,2022,0.7,0.92,0.78,3.0,0
180,M3GAN,2022,0.63,0.93,0.72,3.0,0
181,Bodies Bodies Bodies,2022,0.62,0.86,0.69,3.5,0
182,Under the Skin,2013,0.63,0.83,0.83,4.0,0
183,Hellraiser,1987,0.69,0.69,0.56,2.5,0
184,Possessor,2020,0.65,0.94,0.72,2.5,0
188,Gladiator,2000,0.85,0.8,0.67,2.0,0
189,Godzilla Minus One,2023,0.77,0.99,0.81,3.0,0
190,Furiosa: A Mad Max Saga,2024,0.75,0.9,0.79,4.0,1
191,Civil War,2024,0.7,0.81,0.75,4.0,1
192,The Killer,2023,0.67,0.85,0.73,3.5,0
193,RoboCop,1987,0.76,0.92,0.7,3.0,0
194,Violent Night,2022,0.67,0.74,0.55,1.5,0
195,You Were Never Really Here,2017,0.67,0.89,0.84,4.0,0
196,Dredd,2012,0.71,0.8,0.6,2.0,0
197,Kimi,2022,0.63,0.92,0.79,3.5,0
198,Sisu,2022,0.69,0.94,0.7,3.5,0
199,Emily the Criminal,2022,0.67,0.94,0.75,4.0,1
200,Nobody,2021,0.74,0.84,0.64,3.0,0
201,Casino Royale,2006,0.8,0.94,0.8,4.0,0
206,Flow,2024,0.79,0.97,0.86,4.0,0
207,Howl's Moving Castle,2004,0.82,0.88,0.82,2.5,0
208,Pokemon Detective Pikachu,2019,0.65,0.68,0.53,50.0,0
211,Princess Mononoke,1997,0.83,0.93,0.76,4.0,1
215,All the Beauty and the Bloodshed,2022,0.75,0.95,0.9,4.0,1
216,Ex Machina,2014,0.77,0.92,0.78,4.0,1
217,Harold & Kumar Go to White Castle,2004,0.7,0.74,0.64,3.0,0
219,Tank Girl,1995,0.54,0.45,0.46,2.0,0
220,Bean,1997,0.65,0.43,0.52,2.5,0
221,Twilight,2008,0.53,0.48,0.56,2.5,0
222,Black Dynamite,2009,0.74,0.83,0.65,3.0,1
223,Starship Troopers,1997,0.73,0.72,0.52,2.0,0
224,The Man from U.N.C.L.E.,2015,0.72,0.68,0.56,2.0,0
226,Kiss Kiss Bang Bang,2005,0.75,0.86,0.73,2.5,0
228,Blade Runner 2049,2017,0.8,0.88,0.81,3.5,1
229,X-Men: First Class,2011,0.77,0.86,0.65,2.5,0
230,Airplane!,1980,0.77,0.97,0.78,3.0,0
231,Slumdog Millionaire,2008,0.8,0.91,0.84,4.0,0
232,The NeverEnding Story,1984,0.73,0.84,0.49,3.0,0
233,Scooby-Doo,2002,0.53,0.32,0.35,1.0,0
234,A Knight's Tale,2001,0.7,0.59,0.56,3.0,0
235,Back to the Future,1985,0.85,0.93,0.87,3.5,0
236,Interview with the Vampire,1994,0.75,0.63,0.62,3.0,0
237,Horrible Bosses,2011,0.69,0.69,0.57,3.5,0
238,Grosse Pointe Blank,1997,0.73,0.82,0.76,2.5,0
239,Mortal Kombat,1995,0.58,0.47,0.6,2.0,0
240,Gone in 60 Seconds,2000,0.65,0.26,0.35,2.0,0
242,Braveheart,1995,0.83,0.76,0.68,3.5,0
243,Perfume: The Story of a Murderer,2006,0.75,0.59,0.56,4.0,0
244,The Importance of Being Earnest,2002,0.68,0.57,0.6,3.0,0
245,Life as a House,2001,0.74,0.47,0.45,2.5,0
246,Star Trek,2009,0.79,0.94,0.82,2.5,0
247,Dragonheart,1996,0.64,0.5,0.49,3.0,0
248,Star Trek Into Darkness,2013,0.77,0.84,0.72,2.5,0
249,Star Trek Beyond,2016,0.7,0.86,0.68,2.5,0
250,Stardust,2007,0.76,0.77,0.66,2.5,0
251,Labyrinth,1986,0.73,0.77,0.5,2.0,0
252,Johnny Mnemonic,1995,0.56,0.2,0.36,2.0,0
253,Bedazzled,2000,0.61,0.5,0.49,2.0,0
254,Black Swan,2010,0.8,0.85,0.79,3.5,0
255,Pokemon: The First Movie,1998,0.63,0.16,0.35,2.0,0
257,Legend,1985,0.63,0.41,0.3,2.0,0
258,Sex Drive,2008,0.65,0.46,0.49,2.0,0
259,The Lost Boys,1987,0.72,0.75,0.63,2.5,0
260,Short Circuit,1986,0.66,0.62,0.5,1.5,0
261,Elf,2003,0.71,0.86,0.66,3.0,0
262,Sister Act,1992,0.65,0.73,0.51,2.5,0
263,Tommy Boy,1995,0.71,0.39,0.46,1.0,0
264,Idle Hands,1999,0.62,0.18,0.31,2.5,0
265,Reign of Fire,2002,0.62,0.41,0.39,1.0,0
267,Sorry To Bother You,2018,0.69,0.93,0.78,3.5,1
288,"Three Billboards Outside Ebbing, Missouri",2017,0.81,0.9,0.88,4.0,1
289,Lamb,2021,0.63,0.86,0.68,2.5,0
