Title,Year,Runtime,Format,Director,Writer,Cast,Description,Link,Theater,Scrape_Datetime
25 CATS FROM QATAR,2025,95,DCP,Mye Hoang,,,"Qatar is one of the world’s wealthiest nations, and its luxurious surface and rapid growth are powered by migrant workers who make 89% of the population. And they also feel compelled to help its struggling street cats. When an American flight attendant and cat cafe owner becomes aware of the crisis, she hatches a plan to fly 25 cats to Milwaukee, where her cat cafe provides a pipeline for adoption. Presenting a microcosm of a global crisis, the film asks searching questions about animal welfare, all within a ticking-clock narrative about the nuts and bolts of a rescue mission. It is both an urgent wake-up call and a heartwarming story of overcoming international barriers for a common goal.",https://musicboxtheatre.com/films-and-events/25-cats-from-qatar,Music Box,2025-07-19T03:20:44.467214+00:00
TANGERINE,2015,88,35mm,Sean Baker,"Sean Baker, Chris Bergoch","Kitana Kiki Rodriguez, Mya Taylor, Karren Karagulian","Sin-Dee is back. Upon hearing that her pimp boyfriend was unfaithful during the days she was jailed, the sex worker and her friend, Alexandra, set out to get to the bottom of this. Their odyssey leads them through subcultures of Los Angeles.",https://musicboxtheatre.com/films-and-events/tangerine,Music Box,2025-07-19T03:20:44.467214+00:00
JUMANJI,1995,104,,Joe Johnston,"Jonathan Hensleigh, Greg Taylor, Jim Strain","Robin Williams, Bonnie Hunt, David Alan Grier, Kirsten Dunst","Robin Williams, Kirsten Dunst and Bonnie Hunt star in the original big-screen adaptation of the award-winning children's book. When young Alan Parrish discovers a mysterious board game, he doesn't realize its unimaginable powers, until he is magically transported before the startled eyes of his friend, Sarah, into the untamed jungles of JUMANJI! There he remains for 26 years until he is freed from the game's spell by two unsuspecting children, Judy and Peter. Now a grown man, Alan reunites with Sara, and must outwit the game's powerful forces in this imaginative adventure that combines breathtaking special effects with an enchanting mixture of comedy, magic and thrills.",https://musicboxtheatre.com/films-and-events/jumanji,Music Box,2025-07-19T03:20:44.467214+00:00
DRUNKEN ANGEL,1948,98,35mm,Akira Kurosawa,"Keinosuke Uekusa, Akira Kurosawa","Takashi Shimura, Toshirô Mifune, Reizaburô Yamamoto","In this powerful early noir from the great Akira Kurosawa, Toshiro Mifune bursts onto the screen as a volatile, tubercular criminal who strikes up an unlikely relationship with Takashi Shimura's jaded physician. Set in and around the muddy swamps and back alleys of postwar Tokyo, Drunken Angel is an evocative, moody snapshot of a treacherous time and place, featuring one of the director's most memorably violent climaxes.",https://musicboxtheatre.com/films-and-events/drunken-angel,Music Box,2025-07-19T03:20:44.467214+00:00
THRONE OF BLOOD,1957,109,DCP,Akira Kurosawa,"Hideo Oguni, Shinobu Hashimoto, Ryûzô Kikushima","Toshirô Mifune, Minoru Chiaki, Isuzu Yamada","A vivid, visceral Macbeth adaptation, Throne of Blood, directed by Akira Kurosawa, sets Shakespeare’s definitive tale of ambition and duplicity in a ghostly, fog-enshrouded landscape in feudal Japan. As a hardened warrior who rises savagely to power, Toshiro Mifune gives a remarkable, animalistic performance, as does Isuzu Yamada as his ruthless wife. Throne of Blood fuses classical Western tragedy with formal elements taken from Noh theater to create an unforgettable cinematic experience.",https://musicboxtheatre.com/films-and-events/throne-of-blood,Music Box,2025-07-19T03:20:44.467214+00:00
THE HIDDEN FORTRESS,1958,139,DCP,Akira Kurosawa,"Ryûzô Kikushima, Hideo Oguni, Shinobu Hashimoto","Toshirô Mifune, Misa Uehara, Minoru Chiaki","A grand-scale adventure as only Akira Kurosawa could make one, The Hidden Fortress stars the inimitable Toshiro Mifune as a general charged with guarding his defeated clan’s princess (a fierce Misa Uehara) as the two smuggle royal treasure across hostile territory. Accompanying them are a pair of bumbling, conniving peasants who may or may not be their friends. This rip-roaring ride is among the director’s most beloved films and was a primary influence on George Lucas’s Star Wars. The Hidden Fortress delivers Kurosawa’s trademark deft blend of wry humor, breathtaking action, and compassionate humanity.",https://musicboxtheatre.com/films-and-events/the-hidden-fortress,Music Box,2025-07-19T03:20:44.467214+00:00
CECIL B. DEMENTED,2000,87,35mm,John Waters,John Waters,"Melanie Griffith, Stephen Dorff, Alicia Witt","An insane action-comedy about a young lunatic director and his devoted cult of cinema terrorists who kidnap a movie goddess and force her to star in their underground movie. Vowing to punish the crass sins of commercial cinema, fueled by revolutionary zeal and their self-imposed sexual frustration, Cecil B. DeMented and his guerrilla production crew invade the streets of Baltimore to shoot their no-budget epic. When Cecil says ""Action,"" he means action! Nothing is going to stand in his way.",https://musicboxtheatre.com/films-and-events/cecil-b-demented,Music Box,2025-07-19T03:20:44.467214+00:00
CATVIDEOFEST,2025,73,DCP,,,,"CatVideoFest is a compilation reel of the latest and best cat videos culled from countless hours of unique submissions and sourced animations, music videos, and classic internet powerhouses. CatVideoFest is a joyous communal experience, only available in theaters, and raises money for cats in need through partnerships with local cat charities, animal welfare organizations, and shelters to best serve cats in the area.",https://musicboxtheatre.com/films-and-events/catvideofest,Music Box,2025-07-19T03:20:44.467214+00:00
SEVEN SAMURAI,1954,207,DCP,Akira Kurosawa,"Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni","Toshirô Mifune, Takashi Shimura, Keiko Tsushima","One of the most thrilling movie epics of all time, Seven Samurai (Shichinin no samurai) tells the story of a sixteenth-century village whose desperate inhabitants hire the eponymous warriors to protect them from invading bandits. This three-hour-plus ride from Akira Kurosawa—featuring legendary actors Toshiro Mifune and Takashi Shimura—seamlessly weaves philosophy and entertainment, delicate human emotions and relentless action, into a rich, evocative, and unforgettable tale of courage and hope.",https://musicboxtheatre.com/films-and-events/seven-samurai,Music Box,2025-07-19T03:20:44.467214+00:00
YOJIMBO,1961,110,DCP,Akira Kurosawa,"Akira Kurosawa, Ryûzô Kikushima","Toshirô Mifune, Eijirô Tôno, Tatsuya Nakadai","The incomparable Toshiro Mifune stars in Akira Kurosawa's visually stunning and darkly comic Yojimbo. To rid a terror-stricken village of corruption, wily masterless samurai Sanjuro turns a range war between two evil clans to his own advantage. Remade twice, by Sergio Leone and Walter Hill, this exhilarating genre-twister remains one of the most influential and entertaining films of all time.",https://musicboxtheatre.com/films-and-events/yojimbo,Music Box,2025-07-19T03:20:44.467214+00:00
SANJURO,1962,95,DCP,Akira Kurosawa,"Ryûzô Kikushima, Hideo Oguni, Akira Kurosawa","Toshirô Mifune, Tatsuya Nakadai, Keiju Kobayashi","Toshiro Mifune swaggers and snarls to brilliant comic effect in Akira Kurosawa's tightly paced, beautifully composed Sanjuro. In this sly companion piece to Yojimbo, jaded samurai Sanjuro helps an idealistic group of young warriors weed out their clan's evil influences, and in the process turns their image of a ""proper"" samurai on its ear. Less brazen in tone than its predecessor but equally entertaining, this classic character's return is a masterpiece in its own right.",https://musicboxtheatre.com/films-and-events/sanjuro,Music Box,2025-07-19T03:20:44.467214+00:00
MORTAL KOMBAT,1995,101,35mm,Paul W.S. Anderson,"Ed Boon, John Tobias, Kevin Droney","Christopher Lambert, Robin Shou, Linden Ashby","Lord Rayden (Christopher Lambert) handpicks three martial artists -- federal agent Sonya Blade (Bridgette Wilson), Shaolin monk Lui Kang (Robin Shou) and action movie sensation Johnny Cage (Linden Ashby) -- and mentors them. After intense training, Rayden transports the trio to Outworld, the site of an inter-dimensional fighting tournament. There, the three humans must defeat the demonic warriors of the evil Shang Sung (Cary-Hiroyuki Tagawa) -- or allow Sung to take over the Earth.",https://musicboxtheatre.com/films-and-events/mortal-kombat,Music Box,2025-07-19T03:20:44.467214+00:00
IKIRU,1952,143,DCP,Akira Kurosawa,"Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni","Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori","One of the greatest achievements by Akira Kurosawa, Ikiru shows the director at his most compassionate—affirming life through an explora­tion of death. Takashi Shimura beautifully portrays Kanji Watanabe, an aging bureaucrat with stomach cancer who is impelled to find meaning in his final days. Presented in a radically conceived two­part structure and shot with a perceptive, humanistic clarity of vision, Ikiru is a multifaceted look at what it means to be alive.",https://musicboxtheatre.com/films-and-events/ikiru,Music Box,2025-07-19T03:20:44.467214+00:00
MUSIC BOX MOVIE TRIVIA,,120,,,,,"What makes Music Box Trivia Chicago's premier movie trivia?Six rounds of movie trivia, including audio and visual components. A beautiful community. Specialty drinks. Prizes for first, second, and third place, plus additional participation prizes.Prizes include movie passes, gift cards, posters, category selection, and our never-ending love. Trivia is hosted by Alex, Kimberly, and Carmel (pictured above, cumulative height: 16ft). We have pure hearts and a take-no-prisoners attitude. Our rules? Hard and fast. Our attention? Both limited and divided. The critics agree, ""What else am I gonna do on a Sunday?"" Trivia is free to play. Teams can be up to six players. All ages welcome, but we do swear. Come for the jokes, stay (overtime) for the technical difficulties.Follow us on Instagram @musicboxtriviaHOW TO RESERVE A TABLE:Reservations open every Sunday at noon and close at 2:30pm. Seating begins at 3pm. Reservations are strongly encouraged, but not required. Walk-ins welcome once the lounge opens at 3pm, but we cannot guarantee your team a table. Follow this link to make a reservation: CLICK HERE",https://musicboxtheatre.com/films-and-events/music-box-movie-trivia,Music Box,2025-07-19T03:20:44.467214+00:00
EARTH,1930,75,35mm,Aleksandr Dovzhenko,Aleksandr Dovzhenko,"Stepan Shkurat, Semyon Svashenko, Yuliya Solntseva","An old man dies, a baby is born, and still the wind ripples through the apple trees. The ancient, quasi-mystical connection between a people and their soil has been torn asunder: a tractor brings hope for a better way of life to the countryside, but the landed gentry oppose any challenge to their power. The kulaks orchestrate the murder of a young agitator, whose death sends the peasantry into a paroxysm of revolutionary rage and psychosexual fury. Seemingly inventing principles of montage and poetic embellishment that remain obscure and almost supernatural, Earth more than earns its lofty title, merging the cosmic and the quotidian. Alexander Dovzhenko’s final silent film, produced by Ukrainian studio VUKFU to spread the good news of agricultural collectivization and modernization under Stalin’s first Five-Year Plan, has been celebrated, lambasted, and misunderstood from every possible angle over the last century. Was Dovzhenko striking a blow for Ukrainian nationalism and advocating for the folkways of a culture being plowed under by totalizing Soviet homogeneity — or was he putting a shine on ghoulish propaganda for a system that would soon result in widespread famine? Soviet censors denounced Earth as “counter-revolutionary” and “defeatist,” mandating extensive cuts, and curtailing the release. (Amusingly, the British Communist critic Ivor Mantagu dismissed any non-dogmatic interpretation of Earth: “Pantheism? No. Nature worship? Not at all. Sound Marxist dialectic: the union of opposites.”) Dovzhenko’s film remains unclassifiable, a dispatch from a society uprooting itself but clinging strenuously to its mythic inheritance. 35mm from George Eastman Museum",https://musicboxtheatre.com/films-and-events/earth,Music Box,2025-07-19T03:20:44.467214+00:00
RASHOMON,1950,88,DCP,Akira Kurosawa,"Ryûnosuke Akutagawa, Akira Kurosawa, Shinobu Hashimoto","Toshirô Mifune, Machiko Kyô, Masayuki Mori","A riveting psychological thriller that investigates the nature of truth and the meaning of justice, Rashomon is widely considered one of the greatest films ever made. Four people give different accounts of a man’s murder and the rape of his wife, which director Akira Kurosawa presents with striking imagery and an ingenious use of flashbacks. This eloquent masterwork and international sensation revolutionized film language and introduced Japanese cinema—and a commanding new star by the name of Toshiro Mifune—to the Western world.",https://musicboxtheatre.com/films-and-events/rashomon,Music Box,2025-07-19T03:20:44.467214+00:00
HIGH AND LOW,1963,143,DCP,Akira Kurosawa,"Hideo Oguni, Ryûzô Kikushima, Eijirô Hisaita","Toshirô Mifune, Yutaka Sada, Tatsuya Nakadai","Toshiro Mifune is unforgettable as Kingo Gondo, a wealthy industrialist whose family becomes the target of a cold-blooded kidnapper in High and Low (Tengoku to jigoku), the highly influential domestic drama and police procedural from director Akira Kurosawa. Adapting Ed McBain's detective novel King's Ransom, Kurosawa moves effortlessly from compelling race-against-time thriller to exacting social commentary, creating a diabolical treatise on contemporary Japanese society.",https://musicboxtheatre.com/films-and-events/high-and-low,Music Box,2025-07-19T03:20:44.467214+00:00
"IT'S A MAD, MAD, MAD, MAD WORLD",1963,197,70mm,Stanley Kramer,"William Rose, Tania Rose","Spencer Tracy, Milton Berle, Ethel Merman","Stanley Kramer followed his Oscar-winning Judgment at Nuremberg with this sobering investigation of American greed. Ah, who are we kidding? It’s a Mad, Mad, Mad, Mad World, about a group of strangers fighting tooth and nail over buried treasure, is the most grandly harebrained movie ever made, a pileup of slapstick and borscht-belt-y one-liners performed by a nonpareil cast, including Milton Berle, Sid Caesar, Ethel Merman, Mickey Rooney, Spencer Tracy, Jonathan Winters, and a boatload of other playing-to-the-rafters comedy legends. For sheer scale of silliness, Kramer’s wildly uncharacteristic film is unlike any other, an exhilarating epic of tomfoolery.",https://musicboxtheatre.com/films-and-events/its-a-mad-mad-mad-mad-world,Music Box,2025-07-19T03:20:44.467214+00:00
SINNERS,2025,137,70mm,Ryan Coogler,Ryan Coogler,"Michael B. Jordan, Miles Caton, Saul Williams","Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.“You keep dancing with the devil, one day he’s gonna follow you home.”Written and directed by Academy Award-nominated filmmaker Ryan Coogler. Starring Michael B. Jordan (the “Black Panther” and “Creed” franchises) in a dual role, joined by Oscar nominee Hailee Steinfeld (“Bumblebee,” “True Grit”), Jack O’Connell (“Ferrari”), Wunmi Mosaku (“Passenger”), Jayme Lawson (“The Woman King”), Omar Benson Miller (“True Lies”) and Delroy Lindo (“Da 5 Bloods”).",https://musicboxtheatre.com/films-and-events/sinners,Music Box,2025-07-19T03:20:44.467214+00:00
SON OF THE WHITE MARE,1981,86,DCP,Marcell Jankovics,"László György, Marcell Jankovics","György Cserhalmi, Vera Pap, Gyula Szabó","One of the great psychedelic masterpieces of world animation, Son of the White Mare is a swirling, color-mad maelstrom of mythic monsters and Scythian heroes, part-Nibelungenlied, part-Yellow Submarine, lit by jagged bolts of lightning and drenched in rivers of blue, red, gold and green. A massive cosmic oak stands at the gates of the Underworld, holding seventy-seven dragons in its roots; to combat these monsters, a dazzling white mare goddess gives birth to three heroes – Treeshaker and his brothers – who embark on an epic journey to save the universe. Directed by Hungarian animator Marcell Jankovics (famed for his 1974 Oscar-nominated short Sisyphus), Son of the White Mare has been restored in 4K using the original 35mm camera negative and sound elements by Arbelos in collaboration with the Hungarian National Film Institute – Film Archive.",https://musicboxtheatre.com/films-and-events/son-of-the-white-mare,Music Box,2025-07-19T03:20:44.467214+00:00
2001: A SPACE ODYSSEY,1968,164,70mm,Stanley Kubrick,"Stanley Kubrick (screenplay), Arthur C. Clarke (screenplay)","Keir Dullea, Gary Lockwood, William Sylvester","2001 has been a staple of the 70mm festivals at the Music Box since their inception, and one might say Stanley Kubrick’s science fiction epic (co-written with Arthur C. Clarke with visual effects work by Douglas Trumbull) isn’t just “the ultimate trip” but the ultimate 70mm viewing experience. It’s beautiful, confounding, filled with extraordinary music, images, and color, boring at times, mind-blowing at others, kinda long, and completely unforgettable. It has an overture, an entr'acte, an intermission, and our projectionists have a page-long set of instructions so they know when to dim the lights and open the curtain at exactly the right moment. Reports from a screening in Los Angeles when the film opened alleged that an audience member ran through the screen yelling, “It’s God! It’s God!” Please do not do this, even though you may feel inspired to.",https://musicboxtheatre.com/films-and-events/2001-a-space-odyssey,Music Box,2025-07-19T03:20:44.467214+00:00
SLEEPING BEAUTY,1959,75,70mm,Clyde Geronimi,"Erdman Penner, Charles Perrault","Mary Costa, Bill Shirley, Eleanor Audley","Walt Disney’s second widescreen production doesn’t mess around. Following the 1955 CinemaScope LADY AND THE TRAMP, SLEEPING BEAUTY was shot in Super Technirama 70, a format used on mega productions like SPARTACUS and THE KING OF KINGS, here giving a tremendous amount of depth to Disney’s beautiful multi-plane compositions. Maleficent never looked so terrifying! A once in a lifetime screening of Disney’s only 70mm print- bring your kids!",https://musicboxtheatre.com/films-and-events/sleeping-beauty,Music Box,2025-07-19T03:20:44.467214+00:00
DUNKIRK,2017,107,70mm,Christopher Nolan,Christopher Nolan,"Tom Hardy, Cillian Murphy, Kenneth Branagh, Harry Styles","From filmmaker Christopher Nolan (INTERSTELLAR, INCEPTION, THE DARK KNIGHT TRILOGY) comes the epic action thriller DUNKIRK!DUNKIRK opens as hundreds of thousands of British and Allied troops are surrounded by enemy forces.  Trapped on the beach with their backs to the sea they face an impossible situation as the enemy closes in.",https://musicboxtheatre.com/films-and-events/dunkirk,Music Box,2025-07-19T03:20:44.467214+00:00
TOP GUN: MAVERICK,2022,131,DCP,Joseph Kosinski,"Jim Cash, Jack Epps Jr., Peter Craig","Tom Cruise, Jennifer Connelly, Miles Teller","After more than thirty years of service as a top naval aviator, Pete “Maverick” Mitchell (Tom Cruise) is where he belongs, pushing the envelope as a courageous test pilot. Yet, Maverick must confront the ghosts of his past when he returns to TOP GUN to train a group of elite graduates and comes face-to-face with Lt. Bradshaw (Miles Teller), the son of his former wingman, ""Goose"". Bitter rivalries ignite as the pilots prepare for a specialized mission, which will require the ultimate sacrifice from those chosen to fly it.",https://musicboxtheatre.com/films-and-events/top-gun-maverick,Music Box,2025-07-19T03:20:44.467214+00:00
THE DARK CRYSTAL,1982,93,70mm,"Jim Henson, Frank Oz","David Odell, Jim Henson","Jim Henson, Kathryn Mullen, Frank Oz","A young Gelfling named Jen sets out to restore order to his planet by recovering a glass shard from the broken and powerful Dark Crystal. A delightfully creepy collaboration between Jim Henson and Frank Oz, THE DARK CRYSTAL presents a darker side of the muppets and features some of the best animatronics of the ’80s (which still hold up beautifully today). Variety noted the film was a welcome lesson in mortality for parents and children alike, and “the outstanding character is the Aughra, an ancient one-eyed harridan of an oracle who somehow reminds one of a truly blowsy Shelley Winters.”",https://musicboxtheatre.com/films-and-events/the-dark-crystal,Music Box,2025-07-19T03:20:44.467214+00:00
LAWRENCE OF ARABIA,1962,216,70mm,David Lean,"T.E. Lawrence, Robert Bolt","Peter O'Toole, Alec Guinness, Anthony Quinn","An account of the life and adventures of T.E. Lawrence (piercingly blue-eyed Peter O’Toole), David Lean’s finest film is the rare historical epic that works on nearly every level, combining awe-inspiring production values with a genuinely moving story of a deeply imperfect man. Made by people who really meant business, the locations were so hot and dry that they caused cracking in the emulsion of the camera negative. Don’t watch this one at home!",https://musicboxtheatre.com/films-and-events/lawrence-of-arabia,Music Box,2025-07-19T03:20:44.467214+00:00
CLEOPATRA,1963,243,70mm,Joseph L. Mankiewicz,"Joseph L. Mankiewicz, Ranald MacDougall, Sidney Buchman","Elizabeth Taylor, Richard Burton, Rex Harrison","This epic drama follows the 18 tumultuous years that led to the founding of the Roman Empire. Cleopatra meets Julius Caesar and plans to lure Caesar to her boudoir in order to forge an alliance with Rome so that she may hold on to her Egyptian empire. When Caesar is stabbed to death in the Roman Senate, Cleopatra is left without an ally, and Egypt is up for grabs. When Roman general Mark Antony comes along, she seduces him in hopes of making him into her new protector. But, under the charms of Cleopatra, Mark Antony is reduced from a an awesome and dominating general to a sniveling, drunken wimp. At the Battle of Actium, Mark Antony is defeated and Cleopatra withdraws her troops, dooming Mark Antony and his army. With Egypt in peril, Antony and Cleopatra, the doomed lovers, meet each other for the last time, as the enemy forces close in.",https://musicboxtheatre.com/films-and-events/cleopatra,Music Box,2025-07-19T03:20:44.467214+00:00
DER FAN,1982,92,DCP,Eckhart Schmidt,Eckhart Schmidt,"Désirée Nosbusch, Bodo Staiger, Simone Brahmann","DER FAN deserves a place alongside AUDITION and POSSESSION as an essential art-horror experience. Simone (the magnetic Désirée Nosbusch) is a teenage runaway who is obsessed with the pop singer known as ""R."" Soon, that obsession takes over her life. When ""R"" uses Simone with machine-like coldness, she plots her revenge with an unholy ceremony that's equally romantic and horrifying. Fueled by a killer minimalist synth soundtrack from Rheingold and a gorgeous design aesthetic, DER FAN is a subversive and electric shocker that goes harder than you’d ever expect it to go.",https://musicboxtheatre.com/films-and-events/der-fan,Music Box,2025-07-19T03:20:44.467214+00:00
BACKDRAFT,1991,137,70mm,Ron Howard,Gregory Widen,"Kurt Russell, William Baldwin, Robert De Niro","Chicago firefighting brothers Stephen (Kurt Russell) and Brian (William Baldwin) have been rivals since childhood. Brian, struggling to prove himself, transfers to the arson unit. There he aids Don (Robert De Niro) in his investigation into a spate of fires involving oxygen-induced infernos called backdrafts. But when a conspiracy implicating a crooked politician and an arsonist leads Brian back to Stephen, he is forced to overcome his brotherly competitiveness in order to crack the case.",https://musicboxtheatre.com/films-and-events/backdraft,Music Box,2025-07-19T03:20:44.467214+00:00
THE PREMIERE,2024,81,,Jon Silver,Jon Silver,"Grant Kennedy Lewis, Adam Schreck, Rick Hall","On the night of his first movie premiere, Jacob Sanders is hounded by mounting issues and paranoid delusions appearing on the screen. Disaster looms at every turn - his family argues, audience members complain, the popcorn machine breaks, and the movie file doesn’t work. All of these problems are exacerbated by the rumored arrival of a famous Actor. Jacob struggles to overcome disaster, all while fending off criticisms, expectations, and disturbing figments of his imagination.",https://musicboxtheatre.com/films-and-events/the-premiere,Music Box,2025-07-19T03:20:44.467214+00:00
ONCE UPON A TIME IN HOLLYWOOD,2019,161,70mm,Quentin Tarantino,Quentin Tarantino,"Leonardo DiCaprio, Brad Pitt, Margot Robbie, Al Pacino, Julia Butters, and Sayuri as Brandy The Dog","Quentin Tarantino’s ONCE UPON A TIME... IN HOLLYWOOD visits 1969 Los Angeles, where everything is changing, as TV star Rick Dalton (Leonardo DiCaprio) and his longtime stunt double Cliff Booth (Brad Pitt) make their way around an industry they hardly recognize anymore. The ninth film from the writer-director features a large ensemble cast and multiple storylines in a tribute to the final moments of Hollywood’s golden age.",https://musicboxtheatre.com/films-and-events/once-upon-a-time-in-hollywood,Music Box,2025-07-19T03:20:44.467214+00:00
BOYS GO TO JUPITER,2024,90,DCP,Julian Glander,Julian Glander,"Jack Corbett, Elsie Fisher, Tavi Gevinson","It's the day after Christmas in suburban Florida and Billy 5000 (Jack Corbett) and his friends pass the seemingly endless days by slacking, shoplifting, and beatboxing. In between lounging on the beach and sneaking into pools, Billy spends his time hustling on the food-on-demand app Grubster, desperate to make $5,000 before New Year's Eve. As he darts around the city delivering to a series of oddball characters, a routine stop at the mysterious Dolphin Groves Juice Company leads to a run-in with his former classmate—and crush—Rozebud (Miya Folick) and a surprise backpack stowaway in Donut, a bizarre creature from another world. But Dr. Dolphin (Janeane Garofalo), the powerful orange juice CEO, will do anything to get Donut back, and Billy is forced to make hard choices about love, friendship, and how far he'll go for financial security in a world ruled by capitalism in this absurdist and musical take on a coming-of-age comedy.",https://musicboxtheatre.com/films-and-events/boys-go-to-jupiter,Music Box,2025-07-19T03:20:44.467214+00:00
TAXI ZUM KLO,1980,98,DCP,Frank Ripploh,Frank Ripploh,"Frank Ripploh, Bernd Broaderup, Orpha Termin","Marking the 45th anniversary of its original release, Frank Ripploh’s groundbreaking autobiographical debut returns in a new 4K restoration—offering a vivid, uncompromising portrait of queer life in West Berlin at the dawn of the 1980s.By day, Frank is a dedicated schoolteacher. By night, he embraces the sexual freedoms of the city’s underground scene—navigating a double life in public restrooms, cinemas, and cruising spots. When he meets Bernd, a sweet and steady museum worker, Frank finds himself torn between the comfort of domestic partnership and the allure of anonymous desire.Unapologetically explicit and deeply personal, TAXI ZUM KLO shattered taboos upon its release and remains a landmark of queer cinema. Shot with unfiltered candor and infused with a distinctively wry humor, Ripploh’s film continues to resonate for its fearless exploration of identity, intimacy, and freedom.",https://musicboxtheatre.com/films-and-events/taxi-zum-klo,Music Box,2025-07-19T03:20:44.467214+00:00
THE ROOM,2003,99,35mm,Tommy Wiseau,Tommy Wiseau,"Tommy Wiseau, Juliette Danielle, Greg Sestero","This “electrifying American black comedy about love, passion, betrayal and lies” stars (and was directed, written and produced by) the mysterious Tommy Wiseau, and has been a cult favorite in LA since 2003. “Enter The Room and leave forever changed!”Johnny is a successful banker who lives happily in a San Francisco townhouse with his fiancée, Lisa. One day, inexplicably, she gets bored of him and decides to seduce Johnny's best friend, Mark. From there, nothing will be the same again.",https://musicboxtheatre.com/films-and-events/the-room,Music Box,2025-07-19T03:20:44.467214+00:00
HOT SPRING SHARK ATTACK,2024,77,DCP,Morito Inoune,Morito Inoune,"Kiyobumi Kaneko, Takuya Fujimura, Yu Nakanishi","In a small hot spring town in Japan, a ferocious ancient shark reawakens and begins terrorizing the local hot spring facilities. As the threat escalates, the towns people band together to protect their beloved town from the menacing predator, leading to a fierce and thrilling battle.",https://musicboxtheatre.com/films-and-events/hot-spring-shark-attack,Music Box,2025-07-19T03:20:44.467214+00:00
CAPTAIN ZERO: INTO THE ABYSS PART II,2025,15,DCP,Z Cher-Aimé,Z Cher-Aimé,"Keith David, Angelica Ross, Zolee Griggs, Z Cher-Aime, Cory Galloway, Jazz Walker, Marion Toro","Framed through his therapy sessions, teen superhero Xerxes Hughes tries to uncover the root cause of his random blackouts fueled by his depression demon--a physical manifestation of all his deep-seated insecurities.",https://musicboxtheatre.com/films-and-events/captain-zero-into-the-abyss-part-ii,Music Box,2025-07-19T03:20:44.467214+00:00
JACKASS: THE MOVIE,2002,97,35mm,Jeff Tremaine,"Jeff Tremaine, Spike Jonze, Johnny Knoxville","Johnny Knoxville, Bam Margera, Chris Pontius","In this comedic documentary, Johnny Knoxville heads a crew of stuntmen, skateboarders and all-around lunatics as they prank, embarrass and torture each other in the name of fun. The antics range from childlike -- the boys don panda suits for a romp through Tokyo -- to grotesque and life-threatening. A golf cart demolition derby turns downright dangerous. Live gators nearly chomp maniac Steve-O. Filmmaker Spike Jonze and Knoxville, in heavy makeup, test the public's patience for the elderly.",https://musicboxtheatre.com/films-and-events/jackass-the-movie,Music Box,2025-07-19T03:20:44.467214+00:00
